op,in_shapes,out_shape,D,T,H,group,backend,device,avg_ms
VIEW_3D,"{256,1024,2,8}","{2048,1024,2}",256,1024,2,8,cpu-ggml,host,0.000995
VIEW_3D,"{256,1024,4,1}","{256,1024,4}",256,1024,4,1,cpu-ggml,host,0.001120
VIEW_3D,"{256,1024,4,2}","{512,1024,4}",256,1024,4,2,cpu-ggml,host,0.001075
VIEW_3D,"{256,1024,4,4}","{1024,1024,4}",256,1024,4,4,cpu-ggml,host,0.001079
VIEW_3D,"{256,1024,4,8}","{2048,1024,4}",256,1024,4,8,cpu-ggml,host,0.001096
VIEW_3D,"{256,1024,8,1}","{256,1024,8}",256,1024,8,1,cpu-ggml,host,0.001107
VIEW_3D,"{256,1024,8,2}","{512,1024,8}",256,1024,8,2,cpu-ggml,host,0.001271
VIEW_3D,"{256,1024,8,4}","{1024,1024,8}",256,1024,8,4,cpu-ggml,host,0.001050
VIEW_3D,"{256,1024,8,8}","{2048,1024,8}",256,1024,8,8,cpu-ggml,host,0.001310
VIEW_3D,"{256,1024,16,1}","{256,1024,16}",256,1024,16,1,cpu-ggml,host,0.001055
VIEW_3D,"{256,1024,16,2}","{512,1024,16}",256,1024,16,2,cpu-ggml,host,0.001075
VIEW_3D,"{256,1024,16,4}","{1024,1024,16}",256,1024,16,4,cpu-ggml,host,0.001034
VIEW_3D,"{256,1024,16,8}","{2048,1024,16}",256,1024,16,8,cpu-ggml,host,0.001069
VIEW_3D,"{1024,4,2,1}","{1024,4,2}",1024,4,2,1,cpu-ggml,host,0.001011
VIEW_3D,"{1024,4,2,2}","{2048,4,2}",1024,4,2,2,cpu-ggml,host,0.001212
VIEW_3D,"{1024,4,2,4}","{4096,4,2}",1024,4,2,4,cpu-ggml,host,0.000970
VIEW_3D,"{1024,4,2,8}","{8192,4,2}",1024,4,2,8,cpu-ggml,host,0.000974
VIEW_3D,"{1024,4,4,1}","{1024,4,4}",1024,4,4,1,cpu-ggml,host,0.000967
VIEW_3D,"{1024,4,4,2}","{2048,4,4}",1024,4,4,2,cpu-ggml,host,0.000970
VIEW_3D,"{1024,4,4,4}","{4096,4,4}",1024,4,4,4,cpu-ggml,host,0.000969
VIEW_3D,"{1024,4,4,8}","{8192,4,4}",1024,4,4,8,cpu-ggml,host,0.000974
VIEW_3D,"{1024,4,8,1}","{1024,4,8}",1024,4,8,1,cpu-ggml,host,0.000964
VIEW_3D,"{1024,4,8,2}","{2048,4,8}",1024,4,8,2,cpu-ggml,host,0.001210
VIEW_3D,"{1024,4,8,4}","{4096,4,8}",1024,4,8,4,cpu-ggml,host,0.003153
VIEW_3D,"{1024,4,8,8}","{8192,4,8}",1024,4,8,8,cpu-ggml,host,0.000962
VIEW_3D,"{1024,4,16,1}","{1024,4,16}",1024,4,16,1,cpu-ggml,host,0.000975
VIEW_3D,"{1024,4,16,2}","{2048,4,16}",1024,4,16,2,cpu-ggml,host,0.000972
VIEW_3D,"{1024,4,16,4}","{4096,4,16}",1024,4,16,4,cpu-ggml,host,0.000948
VIEW_3D,"{1024,4,16,8}","{8192,4,16}",1024,4,16,8,cpu-ggml,host,0.001007
VIEW_3D,"{1024,64,2,1}","{1024,64,2}",1024,64,2,1,cpu-ggml,host,0.000957
VIEW_3D,"{1024,64,2,2}","{2048,64,2}",1024,64,2,2,cpu-ggml,host,0.000972
VIEW_3D,"{1024,64,2,4}","{4096,64,2}",1024,64,2,4,cpu-ggml,host,0.000979
VIEW_3D,"{1024,64,2,8}","{8192,64,2}",1024,64,2,8,cpu-ggml,host,0.003369
VIEW_3D,"{1024,64,4,1}","{1024,64,4}",1024,64,4,1,cpu-ggml,host,0.001785
VIEW_3D,"{1024,64,4,2}","{2048,64,4}",1024,64,4,2,cpu-ggml,host,0.001022
VIEW_3D,"{1024,64,4,4}","{4096,64,4}",1024,64,4,4,cpu-ggml,host,0.001296
VIEW_3D,"{1024,64,4,8}","{8192,64,4}",1024,64,4,8,cpu-ggml,host,0.001073
VIEW_3D,"{1024,64,8,1}","{1024,64,8}",1024,64,8,1,cpu-ggml,host,0.001021
VIEW_3D,"{1024,64,8,2}","{2048,64,8}",1024,64,8,2,cpu-ggml,host,0.001026
VIEW_3D,"{1024,64,8,4}","{4096,64,8}",1024,64,8,4,cpu-ggml,host,0.001058
VIEW_3D,"{1024,64,8,8}","{8192,64,8}",1024,64,8,8,cpu-ggml,host,0.001025
VIEW_3D,"{1024,64,16,1}","{1024,64,16}",1024,64,16,1,cpu-ggml,host,0.001049
VIEW_3D,"{1024,64,16,2}","{2048,64,16}",1024,64,16,2,cpu-ggml,host,0.001068
VIEW_3D,"{1024,64,16,4}","{4096,64,16}",1024,64,16,4,cpu-ggml,host,0.001031
VIEW_3D,"{1024,64,16,8}","{8192,64,16}",1024,64,16,8,cpu-ggml,host,0.001050
VIEW_3D,"{1024,256,2,1}","{1024,256,2}",1024,256,2,1,cpu-ggml,host,0.001011
VIEW_3D,"{1024,256,2,2}","{2048,256,2}",1024,256,2,2,cpu-ggml,host,0.000979
VIEW_3D,"{1024,256,2,4}","{4096,256,2}",1024,256,2,4,cpu-ggml,host,0.001023
VIEW_3D,"{1024,256,2,8}","{8192,256,2}",1024,256,2,8,cpu-ggml,host,0.001007
VIEW_3D,"{1024,256,4,1}","{1024,256,4}",1024,256,4,1,cpu-ggml,host,0.001060
VIEW_3D,"{1024,256,4,2}","{2048,256,4}",1024,256,4,2,cpu-ggml,host,0.001106
VIEW_3D,"{1024,256,4,4}","{4096,256,4}",1024,256,4,4,cpu-ggml,host,0.001046
VIEW_3D,"{1024,256,4,8}","{8192,256,4}",1024,256,4,8,cpu-ggml,host,0.001064
VIEW_3D,"{1024,256,8,1}","{1024,256,8}",1024,256,8,1,cpu-ggml,host,0.001046
VIEW_3D,"{1024,256,8,2}","{2048,256,8}",1024,256,8,2,cpu-ggml,host,0.001010
